Image index,image loading time,image preprocessing time,network inference time,image processing time,image overall time
615,0.026947736740112305,0.011525630950927734,0.005489826202392578,0.017090797424316406,0.04588627815246582
616,0.02707505226135254,0.01168060302734375,0.005414724349975586,0.017171382904052734,0.04623079299926758
617,0.026715755462646484,0.01159524917602539,0.005473613739013672,0.017143964767456055,0.045702219009399414
618,0.026282072067260742,0.011540412902832031,0.005436897277832031,0.01705479621887207,0.04525399208068848
619,0.02662825584411621,0.011589288711547852,0.005434989929199219,0.017098426818847656,0.04556560516357422
620,0.029562950134277344,0.011800289154052734,0.005495548248291016,0.017371654510498047,0.048896074295043945
621,0.026752710342407227,0.011607170104980469,0.005405902862548828,0.01708841323852539,0.0458378791809082
622,0.02624654769897461,0.011274099349975586,0.005401611328125,0.016752243041992188,0.04484105110168457
623,0.02646040916442871,0.011289834976196289,0.005429983139038086,0.016796112060546875,0.045119285583496094
624,0.026410818099975586,0.011120080947875977,0.005491733551025391,0.016687631607055664,0.04508662223815918
625,0.026023149490356445,0.01120758056640625,0.005379915237426758,0.016664743423461914,0.04467892646789551
626,0.02575540542602539,0.011204957962036133,0.005468130111694336,0.016750097274780273,0.044496774673461914
627,0.029226064682006836,0.011707305908203125,0.005394458770751953,0.017177820205688477,0.04844355583190918
628,0.026264190673828125,0.011214494705200195,0.0054357051849365234,0.016727924346923828,0.044849395751953125
629,0.027089357376098633,0.011605262756347656,0.0054018497467041016,0.017084360122680664,0.04616808891296387
630,0.026320219039916992,0.011225461959838867,0.005437135696411133,0.016738414764404297,0.04491257667541504
631,0.02662944793701172,0.011615753173828125,0.005457639694213867,0.017149925231933594,0.04568958282470703
632,0.027597665786743164,0.011214971542358398,0.005387306213378906,0.016678571701049805,0.04614067077636719
633,0.026933670043945312,0.011250019073486328,0.00545191764831543,0.016778230667114258,0.04556632041931152
634,0.026653051376342773,0.011159896850585938,0.005401611328125,0.016637802124023438,0.04522347450256348
635,0.02657151222229004,0.011230945587158203,0.005384922027587891,0.01669168472290039,0.04512786865234375
636,0.021548032760620117,0.008740425109863281,0.005429744720458984,0.01429891586303711,0.037346839904785156
637,0.026514291763305664,0.011594772338867188,0.005392313003540039,0.017063379287719727,0.04560256004333496
638,0.026441574096679688,0.011265754699707031,0.0054149627685546875,0.016756534576416016,0.04506087303161621
639,0.02649211883544922,0.011273622512817383,0.005422830581665039,0.01677417755126953,0.04512834548950195
640,0.026825666427612305,0.011628150939941406,0.005434751510620117,0.017139911651611328,0.04595184326171875
641,0.027395248413085938,0.011307716369628906,0.005429744720458984,0.016813993453979492,0.04607701301574707
642,0.02786993980407715,0.011174201965332031,0.005399227142333984,0.016650676727294922,0.0465092658996582
643,0.027676820755004883,0.011170625686645508,0.005448818206787109,0.01669597625732422,0.04636263847351074
644,0.027892589569091797,0.011255025863647461,0.005402326583862305,0.01673436164855957,0.04648780822753906
645,0.029883861541748047,0.011929035186767578,0.0054416656494140625,0.017446517944335938,0.049253225326538086
646,0.026851892471313477,0.011193275451660156,0.005374431610107422,0.016645193099975586,0.04548144340515137
647,0.02645134925842285,0.011256933212280273,0.005502223968505859,0.01683354377746582,0.04515194892883301
648,0.026864290237426758,0.011121988296508789,0.0054492950439453125,0.0166475772857666,0.04550743103027344
649,0.02794623374938965,0.011253118515014648,0.00537872314453125,0.016708850860595703,0.046518802642822266
650,0.028278589248657227,0.011165857315063477,0.0053822994232177734,0.016625165939331055,0.046895742416381836
651,0.035404205322265625,0.014818906784057617,0.005431652069091797,0.02032637596130371,0.058214426040649414
652,0.03172731399536133,0.014042139053344727,0.00540924072265625,0.019527912139892578,0.053368330001831055
653,0.028481483459472656,0.011584281921386719,0.005512714385986328,0.01717400550842285,0.04765510559082031
654,0.029379606246948242,0.011939287185668945,0.005455493927001953,0.017472028732299805,0.048825979232788086
655,0.0342860221862793,0.014429569244384766,0.005434513092041016,0.019941329956054688,0.056731462478637695
656,0.027191877365112305,0.011458158493041992,0.005480051040649414,0.017015457153320312,0.04613351821899414
657,0.02723860740661621,0.011778593063354492,0.005367279052734375,0.017221689224243164,0.04638099670410156
658,0.03081989288330078,0.012663125991821289,0.0054171085357666016,0.018157482147216797,0.05106472969055176
659,0.025766611099243164,0.01029062271118164,0.005377292633056641,0.015747547149658203,0.04319882392883301
660,0.021607160568237305,0.00787043571472168,0.005417823791503906,0.013364315032958984,0.03637862205505371
661,0.029735088348388672,0.011902332305908203,0.00539398193359375,0.017373085021972656,0.04909682273864746
662,0.02761101722717285,0.011591672897338867,0.005377054214477539,0.0170438289642334,0.046703338623046875
663,0.022683382034301758,0.008714914321899414,0.005513668060302734,0.01430654525756836,0.0384213924407959
664,0.022769927978515625,0.010461568832397461,0.005433082580566406,0.015970945358276367,0.04022932052612305
665,0.024622201919555664,0.009546995162963867,0.0053827762603759766,0.015008926391601562,0.04114937782287598
666,0.0269167423248291,0.011229991912841797,0.005389690399169922,0.016697168350219727,0.04548382759094238
667,0.027715444564819336,0.011192798614501953,0.0053844451904296875,0.01665639877319336,0.04636025428771973
668,0.028120756149291992,0.011242866516113281,0.005480289459228516,0.0167999267578125,0.046781063079833984
669,0.026044607162475586,0.011154890060424805,0.005524635314941406,0.016756296157836914,0.044747114181518555
670,0.0261538028717041,0.011219024658203125,0.005395412445068359,0.016692399978637695,0.04479217529296875
671,0.027211904525756836,0.011232376098632812,0.005423307418823242,0.016786575317382812,0.045856475830078125
672,0.026355743408203125,0.011173725128173828,0.005491971969604492,0.01674056053161621,0.0450899600982666
673,0.026962995529174805,0.011270284652709961,0.005382061004638672,0.016728878021240234,0.04556441307067871
674,0.026078462600708008,0.011283397674560547,0.005431175231933594,0.016790151596069336,0.04474186897277832
675,0.026110172271728516,0.011245012283325195,0.005510807037353516,0.0168306827545166,0.0448000431060791
676,0.027174949645996094,0.011240720748901367,0.005408525466918945,0.016725540161132812,0.04589366912841797
677,0.027738332748413086,0.011614561080932617,0.005469799041748047,0.017161130905151367,0.04681229591369629
678,0.027367115020751953,0.011196613311767578,0.00546717643737793,0.0167391300201416,0.04597830772399902
679,0.026915311813354492,0.01125645637512207,0.0055048465728759766,0.01683664321899414,0.04561591148376465
680,0.03011798858642578,0.011884689331054688,0.00548553466796875,0.017446279525756836,0.04959583282470703
681,0.026994943618774414,0.011556863784790039,0.005434513092041016,0.017070770263671875,0.045906782150268555
682,0.026739120483398438,0.011544942855834961,0.005413532257080078,0.01703619956970215,0.04571032524108887
683,0.02687859535217285,0.011569738388061523,0.005393266677856445,0.017038822174072266,0.04575467109680176
684,0.027567625045776367,0.011486530303955078,0.005400180816650391,0.01696181297302246,0.04649996757507324
685,0.02661442756652832,0.011602163314819336,0.005376338958740234,0.017054080963134766,0.04549908638000488
